Issue Type,Summary,Description,Parent,Priority
Subtask,Rassembler la documentation utilisateur et exploitation,"Preparer les supports pour l'equipe et la soutenance.",Rediger la documentation technique et fonctionnelle,Medium
Subtask,Structurer le plan de soutenance,"Mettre en avant objectifs, architecture, securite et demarche.",Preparer la soutenance du projet,Medium
Subtask,Preparer la demonstration des modules clefs,"Montrer la valeur du parcours patient et staff.",Preparer la soutenance du projet,Medium
Subtask,Configurer l'extraction des donnees depuis PostgreSQL,"Definir sources, frequence et controles.",Mettre en place la chaine hebdomadaire de rafraichissement des donnees medicales,Medium
Subtask,Construire le pipeline de nettoyage et alimentation datamart,"Transformer puis exposer les indicateurs.",Mettre en place la chaine hebdomadaire de rafraichissement des donnees medicales,High
Subtask,Definir les regles d'anonymisation et pseudonymisation,"Preciser les champs et niveaux de masquage.",Anonymiser partiellement les donnees pour PREPROD,High
Subtask,Automatiser la generation d'indicateurs hebdomadaires,"Produire des indicateurs alimentes par n8n.",Anonymiser partiellement les donnees pour PREPROD,Medium
Subtask,Verifier automatiquement le format et le hash des documents,"Controler integrite et conformite du fichier.",Automatiser le workflow d'upload et validation des documents medicaux,High
Subtask,Mettre en place le classement et l'historisation des documents,"Conserver les versions et le rangement metier.",Automatiser le workflow d'upload et validation des documents medicaux,Medium
Subtask,Definir les regles de completude documentaire,"Identifier les pieces attendues par workflow.",Alerter sur les documents medicaux manquants,Medium
Subtask,Mettre en oeuvre les notifications de relance,"Alerter les equipes concernees en cas de manquant.",Alerter sur les documents medicaux manquants,Medium
Subtask,Mettre en place le suivi des echecs d'acces et sauvegardes,"Centraliser les evenements critiques dans n8n.",Automatiser le controle des acces et des exports de donnees,Medium
Subtask,Automatiser l'audit des exports de donnees,"Tracer les exports et lever des alertes si besoin.",Automatiser le controle des acces et des exports de donnees,High
Subtask,Documenter les limites de n8n face aux regles metier sensibles,"Rappeler que n8n ne remplace pas le backend Spring.",Encadrer l'usage de n8n dans un contexte medical,High
Subtask,Definir la securite self hosted et la gestion de la cle d'encryption,"Encadrer les environnements et les credentials n8n.",Encadrer l'usage de n8n dans un contexte medical,High
