Issue Type,Summary,Description,Epic Name,Parent Summary,Priority
Subtask,Definir les logs de securite obligatoires,"Tracer les acces, erreurs et actions critiques.",Securisation des donnees,Mettre en place la journalisation et la surveillance securite,High
Subtask,Mettre en place un suivi automatique des logs sensibles,"Permettre audit et alerting securite.",Securisation des donnees,Mettre en place la journalisation et la surveillance securite,Medium
Epic,Gestion des environnements et deploiement,"Mettre en place DEV, RCT, PPR, PROD ainsi que les pipelines CI/CD.",Gestion des environnements et deploiement,,High
Story,Structurer les environnements DEV RCT PPR PROD,"Definir la configuration, les secrets, les donnees et les acces pour chaque environnement.",Gestion des environnements et deploiement,,High
Subtask,Documenter la configuration cible par environnement,"Lister variables, endpoints et dependances.",Gestion des environnements et deploiement,Structurer les environnements DEV RCT PPR PROD,Medium
Subtask,Definir les jeux de donnees et regles de segregation,"Garantir la separation des environnements.",Gestion des environnements et deploiement,Structurer les environnements DEV RCT PPR PROD,High
Story,Mettre en place les pipelines CI CD,"Automatiser build, tests, qualite et deploiement sur les environnements cibles.",Gestion des environnements et deploiement,,High
Subtask,Creer la pipeline CI de build et tests,"Couvrir front, back et controles de qualite.",Gestion des environnements et deploiement,Mettre en place les pipelines CI CD,High
Subtask,Preparer les jobs de deploiement par environnement,"Gerer promotion et validations de release.",Gestion des environnements et deploiement,Mettre en place les pipelines CI CD,High
Epic,Tests et validation,"Valider la conformite fonctionnelle, technique et securitaire du systeme.",Tests et validation,,High
Story,Mettre en place les tests fonctionnels et techniques,"Structurer la strategie de tests unitaires, integration et bout en bout.",Tests et validation,,High
Subtask,Definir la matrice de tests par module,"Associer les cas de tests aux fonctionnalites.",Tests et validation,Mettre en place les tests fonctionnels et techniques,Medium
Subtask,Automatiser les tests unitaires et d'integration,"Couvrir les composants critiques.",Tests et validation,Mettre en place les tests fonctionnels et techniques,High
Story,Realiser les tests de securite et de conformite,"Verifier les acces, les logs, les exports et la resistance des controles.",Tests et validation,,High
Subtask,Ecrire les scenarios de tests de securite,"Inclure auth, permissions, logs et gestion des tokens.",Tests et validation,Realiser les tests de securite et de conformite,High
Subtask,Verifier la conformite des flux de donnees,"Controler les regles RGPD et traces d'audit.",Tests et validation,Realiser les tests de securite et de conformite,High
Epic,Documentation et soutenance,"Documenter techniquement et fonctionnellement le systeme et preparer la presentation projet.",Documentation et soutenance,,Medium
Story,Rediger la documentation technique et fonctionnelle,"Formaliser architecture, API, modele de donnees, workflows et guides d'exploitation.",Documentation et soutenance,,Medium
Subtask,Produire les documents UML et architecture,"Documenter les vues fonctionnelles et techniques.",Documentation et soutenance,Rediger la documentation technique et fonctionnelle,Medium
Subtask,Rassembler la documentation utilisateur et exploitation,"Preparer les supports pour l'equipe et la soutenance.",Documentation et soutenance,Rediger la documentation technique et fonctionnelle,Medium
Story,Preparer la soutenance du projet,"Construire un support clair de presentation technique et metier.",Documentation et soutenance,,Medium
Subtask,Structurer le plan de soutenance,"Mettre en avant objectifs, architecture, securite et demarche.",Documentation et soutenance,Preparer la soutenance du projet,Medium
Subtask,Preparer la demonstration des modules clefs,"Montrer la valeur du parcours patient et staff.",Documentation et soutenance,Preparer la soutenance du projet,Medium
Epic,n8n data orchestration,"Automatiser l'integration et le rafraichissement des donnees medicales via n8n.",n8n data orchestration,,High
Story,Mettre en place la chaine hebdomadaire de rafraichissement des donnees medicales,"Concevoir le pipeline n8n d'extraction, nettoyage et alimentation des donnees.",n8n data orchestration,,High
Subtask,Configurer l'extraction des donnees depuis PostgreSQL,"Definir sources, frequence et controles.",n8n data orchestration,Mettre en place la chaine hebdomadaire de rafraichissement des donnees medicales,Medium
Subtask,Construire le pipeline de nettoyage et alimentation datamart,"Transformer puis exposer les indicateurs.",n8n data orchestration,Mettre en place la chaine hebdomadaire de rafraichissement des donnees medicales,High
Story,Anonymiser partiellement les donnees pour PREPROD,"Preparer des jeux de donnees exploitables sans exposition excessive des donnees de sante.",n8n data orchestration,,High
Subtask,Definir les regles d'anonymisation et pseudonymisation,"Preciser les champs et niveaux de masquage.",n8n data orchestration,Anonymiser partiellement les donnees pour PREPROD,High
Subtask,Automatiser la generation d'indicateurs hebdomadaires,"Produire des indicateurs alimentes par n8n.",n8n data orchestration,Anonymiser partiellement les donnees pour PREPROD,Medium
Epic,n8n gestion documentaire intelligente,"Automatiser le cycle de vie des documents medicaux via n8n.",n8n gestion documentaire intelligente,,High
Story,Automatiser le workflow d'upload et validation des documents medicaux,"Prendre en charge verification de format, hash, classement et historisation.",n8n gestion documentaire intelligente,,High
Subtask,Verifier automatiquement le format et le hash des documents,"Controler integrite et conformite du fichier.",n8n gestion documentaire intelligente,Automatiser le workflow d'upload et validation des documents medicaux,High
Subtask,Mettre en place le classement et l'historisation des documents,"Conserver les versions et le rangement metier.",n8n gestion documentaire intelligente,Automatiser le workflow d'upload et validation des documents medicaux,Medium
Story,Alerter sur les documents medicaux manquants,"Declencher des alertes n8n quand un document attendu est absent ou incomplet.",n8n gestion documentaire intelligente,,Medium
Subtask,Definir les regles de completude documentaire,"Identifier les pieces attendues par workflow.",n8n gestion documentaire intelligente,Alerter sur les documents medicaux manquants,Medium
Subtask,Mettre en oeuvre les notifications de relance,"Alerter les equipes concernees en cas de manquant.",n8n gestion documentaire intelligente,Alerter sur les documents medicaux manquants,Medium
Epic,n8n supervision et conformite,"Automatiser les controles de conformite et la supervision des flux de donnees.",n8n supervision et conformite,,High
Story,Automatiser le controle des acces et des exports de donnees,"Suivre les acces, les logs d'echec, les sauvegardes et les exports sensibles.",n8n supervision et conformite,,High
Subtask,Mettre en place le suivi des echecs d'acces et sauvegardes,"Centraliser les evenements critiques dans n8n.",n8n supervision et conformite,Automatiser le controle des acces et des exports de donnees,Medium
Subtask,Automatiser l'audit des exports de donnees,"Tracer les exports et lever des alertes si besoin.",n8n supervision et conformite,Automatiser le controle des acces et des exports de donnees,High
Story,Encadrer l'usage de n8n dans un contexte medical,"Poser les limites et controles de n8n vis-a-vis du backend et des donnees de sante.",n8n supervision et conformite,,High
Subtask,Documenter les limites de n8n face aux regles metier sensibles,"Rappeler que n8n ne remplace pas le backend Spring.",n8n supervision et conformite,Encadrer l'usage de n8n dans un contexte medical,High
Subtask,Definir la securite self hosted et la gestion de la cle d'encryption,"Encadrer les environnements et les credentials n8n.",n8n supervision et conformite,Encadrer l'usage de n8n dans un contexte medical,High
